time,solar,wind_offshore,wind_onshore
2024-01-03 14:45:00,3055.8,4198.3,39154.0
2024-01-03 15:00:00,2399.7,3984.2,38815.7
2024-01-03 15:15:00,1798.3,3811.8,38376.9
2024-01-03 15:30:00,1234.1,3702.5,38090.3
2024-01-03 15:45:00,680.7,3604.9,37901.4
2024-01-03 16:00:00,280.7,3602.4,37560.4
2024-01-03 16:15:00,66.1,3535.0,37011.9
2024-01-03 16:30:00,9.3,3511.9,36231.4
2024-01-03 16:45:00,8.1,3597.6,35600.1
2024-01-03 17:00:00,3.8,3689.5,35010.3
2024-01-03 17:15:00,3.9,3715.8,34757.6
2024-01-03 17:30:00,7.6,3638.3,34276.7
2024-01-03 17:45:00,9.3,3539.5,34027.0
2024-01-03 18:00:00,3.5,3439.2,33668.3
2024-01-03 18:15:00,4.8,3361.4,33483.9
2024-01-03 18:30:00,6.0,3314.2,33225.5
2024-01-03 18:45:00,3.1,3298.5,33069.7
2024-01-03 19:00:00,6.3,3297.8,32661.9
2024-01-03 19:15:00,3.5,3303.5,32354.9
2024-01-03 19:30:00,3.2,3237.8,32014.0
2024-01-03 19:45:00,2.6,3175.6,31646.2
2024-01-03 20:00:00,5.7,3188.8,31354.7
2024-01-03 20:15:00,2.5,3228.3,31246.5
2024-01-03 20:30:00,2.3,3259.1,31338.8
2024-01-03 20:45:00,2.3,3297.5,31264.1
2024-01-03 21:00:00,3.1,3339.8,31277.8
2024-01-03 21:15:00,2.4,3380.6,31062.8
2024-01-03 21:30:00,2.4,3432.4,30732.6
2024-01-03 21:45:00,2.4,3465.2,30451.4
2024-01-03 22:00:00,0.0,3455.0,29714.5
2024-01-03 22:15:00,0.0,3472.5,29626.3
2024-01-03 22:30:00,0.0,3528.6,29754.0
2024-01-03 22:45:00,0.0,3660.0,29714.8
2024-01-03 23:00:00,0.0,3780.6,29665.8
2024-01-03 23:15:00,0.0,3890.7,29713.7
2024-01-03 23:30:00,0.0,3909.4,29882.0
2024-01-03 23:45:00,0.0,3943.4,29979.5
